date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,MTW Status
2/29/2020,1,1,0,0,1,0,0,0,0,,,,Non-matching
3/1/2020,0,1,0,0,0,0,0,0,0,,,,Non-matching
3/2/2020,0,2,0,0,2,0,0,0,0,,,,Non-matching
3/3/2020,1,7,0,0,3,0,0,0,0,,,,Non-matching
3/4/2020,5,2,0,1,1,0,0,0,0,,,,Non-matching
3/5/2020,3,14,0,3,3,0,0,0,0,,,,Non-matching
3/6/2020,8,8,0,1,1,0,1,2,0,,,,Non-matching
3/7/2020,7,8,0,2,3,0,1,2,0,,,,Non-matching
3/8/2020,21,18,0,5,8,0,2,3,0,,,,Non-matching
3/9/2020,57,37,0,16,11,0,4,4,0,,,,Non-matching
3/10/2020,69,60,0,11,13,0,6,6,0,,,,Non-matching
3/11/2020,155,79,1,31,12,0,10,7,0,,,,Non-matching
3/12/2020,355,105,0,96,33,0,23,12,0,,,,Non-matching
3/13/2020,619,151,0,166,44,0,47,18,0,,,,Non-matching
3/14/2020,642,176,2,163,40,1,70,23,0,,,,Non-matching
3/15/2020,1034,210,4,432,53,0,131,29,0,,,,Non-matching
3/16/2020,2121,339,8,740,92,1,234,41,0,,,,Non-matching
3/17/2020,2452,383,8,783,98,4,344,53,1,,,,Non-matching
3/18/2020,2971,492,20,965,123,6,478,69,2,,,,Non-matching
3/19/2020,3706,632,24,1204,159,6,636,87,3,,,,Non-matching
3/20/2020,4007,734,47,1136,222,11,775,112,4,,,,Non-matching
3/21/2020,2639,732,44,554,183,12,831,133,6,,,,Non-matching
3/22/2020,2580,772,49,755,206,10,877,155,7,,,,Non-matching
3/23/2020,3570,1133,82,909,296,27,901,184,11,,,,Non-matching
3/24/2020,4497,1296,95,1212,361,23,962,221,14,,,,Non-matching
3/25/2020,4874,1420,124,1255,424,37,1004,264,18,,,,Non-matching
3/26/2020,5044,1529,187,1372,489,50,1028,312,24,,,,Non-matching
3/27/2020,5119,1567,217,1426,473,75,1069,347,33,,,,Non-matching
3/28/2020,3479,1378,272,863,396,77,1113,378,43,,,,Non-matching
3/29/2020,3560,1502,290,1149,464,89,1169,415,54,,,,Non-matching
3/30/2020,6129,1848,323,1754,557,106,1290,452,65,,,,Non-matching
3/31/2020,5458,1781,386,1512,544,127,1333,478,80,,,,Non-matching
4/1/2020,5449,1735,447,1590,515,135,1381,491,94,,,,Non-matching
4/2/2020,5746,1659,499,1610,446,171,1415,485,111,,,,Non-matching
4/3/2020,5670,1698,499,1440,449,144,1417,482,121,,,,Non-matching
4/4/2020,3866,1439,511,920,378,165,1425,479,134,,,,Non-matching
4/5/2020,3781,1391,578,1144,403,165,1424,470,145,,,,Non-matching
4/6/2020,6353,1738,576,1461,475,169,1382,459,154,,,,Non-matching
4/7/2020,6044,1576,598,1397,466,180,1366,447,161,,,,Non-matching
